#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview
151,Still Getting It Done,"Ghost of Vroom,Mike Doughty,Andrew Livingston",22,95,modern cello,New age,Still Getting It Done,6/7/2023,2:42,57,79,1,0,52,10,10,-10,A#/B♭ Minor,4,8/10/2023,2Td70fzrVPk5epdqsbG8ei,Mod y Vi,3A,https://p.scdn.co/mp3-preview/d1dc693b6f6b23633a11ed7cc31683a096273867?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851874af7331a65f62bb3174561
152,Contigo,Tomo Nakayama,16,160,,,Contigo,7/7/2023,4:23,46,88,6,19,60,0,60,-5,B Minor,4,8/11/2023,7etBXJfcucMvBGXopBn2gQ,Ricebelly Music,10A,https://p.scdn.co/mp3-preview/d6c98983370913f4a4bdfb29160d94d76ccc4e0c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ed3bf34f569b0ae7f85713a6
153,Rudolph,MJ Lenderman,45,178,"asheville indie, countrygaze",Folk/Acoustic,Rudolph,7/18/2023,3:31,46,59,2,6,79,0,30,-6,B Minor,4,8/14/2023,7kTUoMrKA0duKYHWliWW7k,Anti/Epitaph,10A,https://p.scdn.co/mp3-preview/327f4e8d6c08703e7f8dd2863ff82adefcc64774?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851dae97becb0b79509ded979e6
154,Africa Calling,Beverly Glenn-Copeland,22,120,"canadian experimental, fourth world, transpop","New age, Pop",The Ones Ahead,7/28/2023,5:40,67,75,62,42,88,0,0,-11,C Major,4,8/15/2023,0eWtYtJerZCZpwDI5N9k7l,Transgressive,8B,https://p.scdn.co/mp3-preview/c52c0088827f76fa5951e8bdfc99839ad39c761c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485119a3a36c6fb6eb69fa1a95fa
155,Just Cool,Obongjayar,56,115,experimental r&b,R&B,Just Cool,5/11/2023,3:40,95,78,11,0,96,10,0,-5,D Major,4,8/16/2023,553yNvwJjHlHwDF4fA9ZUP,September Recordings,10B,https://p.scdn.co/mp3-preview/933586b4f1a0d10ed7292b4484fe66cc2e6ee702?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510fef1a5eac3233e16489167a
156,The Everlasting Gobstopper,The Veldt,22,109,indie shoegaze,Rock,The Everlasting Gobstopper,5/5/2023,4:53,45,61,0,88,24,0,10,-11,C Major,3,8/17/2023,3L0UvgMXyDYFHsapo0zIaj,5BC,8B,https://p.scdn.co/mp3-preview/d1cd37b62b875ff37eeb1698a49e9593d3ed693e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511af3921da520ce3353309c4a
157,Contentment,RUB,7,120,,,Contentment,3/21/2023,3:43,72,51,12,0,82,0,30,-11,C Major,4,8/18/2023,2dBEnT98jtbo53xcAz61ku,798153 Records DK,8B,https://p.scdn.co/mp3-preview/48e0e9da3a294859556248abebd4dfc43f7efc79?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a833a091269dffb0cb8870ff
158,If The Answer Isn't Love,Sen Morimoto,21,176,jazz rap,Hip Hop,If The Answer Isn't Love,5/2/2023,2:51,41,53,9,0,34,0,10,-10,D Major,3,8/21/2023,0zTc1N45hxG1EV2s7WW7RA,City Slang,10B,https://p.scdn.co/mp3-preview/665f40a249e9c5a52081e7f5177cb4520a6c29c5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cc97612f18b89f03245dc7dc
159,Slightly Shaking Cells,Pozi,24,115,"crank wave, uk post-punk revival",Rock,Smiling Pools,5/19/2023,3:28,78,74,9,88,42,0,10,-9,B Major,4,8/22/2023,3ttLpQ2Jsfn8fgwViPKMjC,PRAH Recordings,1B,https://p.scdn.co/mp3-preview/f4255060f5b06ef7f8080c575855c93bf2acf603?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485184f42228eedb2c32a8671394
160,"SCIENTISTS & ENGINEERS [Feat. Future, Eryn Allen Kane]","Killer Mike,André 3000,Eryn Allen Kane,Future",61,140,"alternative hip hop, atl hip hop, conscious hip hop, hip hop, old school atlanta hip hop, political hip hop, southern hip hop, dirty south rap, alternative r&b, neo soul, rap, trap","Hip Hop, R&B","SCIENTISTS & ENGINEERS [Feat. Future, Eryn Allen Kane]",6/13/2023,4:13,52,73,69,0,50,30,20,-7,F Minor,4,8/23/2023,2RHKzvzdxXANTOKtbZnuLo,Loma Vista Recordings,4A,,https://i.scdn.co/image/ab67616d00004851013f3ec69272a4706ed18f33
161,You Shatter,Sweeping Promises,20,141,american post-punk,Rock,Good Living Is Coming For You,6/30/2023,3:16,32,84,13,80,65,0,40,-8,D Major,4,8/24/2023,1Io8JglabnBpQFNsMg4jUS,Sub Pop Records,10B,https://p.scdn.co/mp3-preview/0ad9a4901eb621787075c479850a14260f4d84ea?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485173be677480b9a08f54fd0b26
162,Unified Dakotas,"High Pulp,Jeff Parker",32,95,"jazz guitar, pastoral","Jazz, Folk/Acoustic",Days In The Desert,7/28/2023,5:04,54,51,33,94,7,0,10,-12,C♯/D♭ Minor,3,8/25/2023,7Gh8n2R5XatjTztKjN4WYB,Anti/Epitaph,12A,https://p.scdn.co/mp3-preview/32ed3e61c2a8f4340055ae2dd2e1c3eeb90b2542?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517d3f02d7cd352a93195a2850
163,Touch Me Not,Dengue Fever,19,133,cambodian rock,Rock,Touch Me Not,6/2/2023,4:22,61,46,6,48,50,0,10,-8,D Major,4,8/28/2023,4uR3aZxJtUM6BWMLGN848b,Tuk Tuk Records,10B,https://p.scdn.co/mp3-preview/97d1f9816e30c922d5b237eac3dd92502d1b413d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851897074b8dbbc5d3e3a6ec18d
164,It's Just A Bit Of Blood,bdrmm,37,162,"bedroom pop, crank wave, hull indie, nu gaze","Pop, Rock",I Don't Know,6/30/2023,4:46,33,83,1,41,33,0,0,-7,G Major,4,8/29/2023,1PLnp0WN8oxJk4hRFCS06t,Rock Action Records,9B,https://p.scdn.co/mp3-preview/3096bfdc3c767920117e813eb5945bfb572bd525?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ea7feab952fb24c191e7248d
165,Frontier's Edge,The Budos Band,34,113,"afrobeat, ethio-jazz, instrumental funk, instrumental soul","World/Traditional, Jazz, R&B",Frontier's Edge,5/23/2023,2:35,53,84,0,71,65,0,0,-6,E Minor,4,8/30/2023,4iHpuddvYahXvbOSnoPPaG,Diamond West Records,9A,https://p.scdn.co/mp3-preview/886c73773ea339cadecbbc9c858953f558178a33?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485150516746de27d7fa7e8f5911
166,Vine,Glasser,14,181,"chillwave, neo-synthpop, shimmer pop","Rock, Pop",Vine,6/7/2023,2:59,50,62,19,11,29,0,10,-9,G Major,4,8/31/2023,1oePTHpAQpmmtqocPzkspN,One Little Independent Records,9B,https://p.scdn.co/mp3-preview/ce91cead5e132445e7948f97adda02725157a615?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518ee5e77362e0b7a43c45f77e
167,Crook,Bread Pilot,10,96,connecticut indie,Rock,New To You,5/27/2022,3:34,40,48,3,1,44,0,10,-8,G Major,4,9/1/2023,3DmETUNiyyTWvbsm6b437L,Double Double Whammy,9B,https://p.scdn.co/mp3-preview/4aabe5c771093fa6c6bc54258a9993a65ec63924?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517cfa4c6473cff6fb3c37595f
168,Soft Inside,"Dea Galore,The Melodiks,Georgia Anne Muldrow",15,83,"alternative r&b, instrumental hip hop","R&B, Hip Hop",Soft Inside,7/23/2023,3:06,61,29,78,86,11,0,10,-10,F#/G♭ Major,4,9/4/2023,3Uzm3GpyYHjUm0mq8EAxU5,Kollision Ent.,2B,https://p.scdn.co/mp3-preview/874d3a03ea966de63152e43fafc8077372742cc0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cb1a8b86c87edba80b8a6236
169,SOUL SURVIVOR,C.S. Armstrong,32,138,,,THE SOUTHWESTERN BENEDICTION,6/23/2023,3:01,59,75,48,0,46,20,20,-6,F Minor,4,9/5/2023,0kQTQQzTCf958lQCmPTraa,TOP OF THE BOOT RECORDS,4A,https://p.scdn.co/mp3-preview/91a7b53256b9c72acfac97588ec95b8ba2e58a78?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511f1a4520fd3be89768190f14
170,Bliss,"MMYYKK,Ricki Monique",14,87,"indie r&b, minneapolis indie, neo r&b, ","R&B, Rock",The Midst of Things,7/28/2023,3:26,74,48,58,0,56,40,10,-10,E Minor,4,9/6/2023,3sfEehd1gIeWhArP8CRTmj,SwayHeavy,9A,https://p.scdn.co/mp3-preview/02b6067a7b3f3c0d94b1abdfedfaebd934964363?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c206072db7cdf2220beb9470
171,No Wish (feat. Phonte & Raphael Saadiq),"Black Milk,Phonte,Raphael Saadiq",25,92,"alternative hip hop, detroit hip hop, instrumental hip hop, north carolina hip hop, funk, neo soul, soul","Hip Hop, R&B",Everybody Good?,7/19/2023,4:03,68,60,48,0,49,40,10,-9,G#/A♭ Major,4,9/7/2023,3EGcdkdI1CTgzhWf3IYEHI,Mass Appeal,4B,https://p.scdn.co/mp3-preview/c0f472e7619763fe7da8e34b50ad23b2736d059d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513c9fe27ada92ad0769916959
172,(East | West),"Prometheus Brown,Leua",12,180,"hawaiian hip hop, ",Hip Hop,Taglagas,6/21/2023,4:29,70,38,41,0,68,30,10,-11,F Minor,4,9/8/2023,7mbJRqloV0UFtWQTauH0iF,Beatrock Music LLC,4A,https://p.scdn.co/mp3-preview/c641d277db7e60424ba450f74f033534fa25167e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514fb88e212e430c6d6595084d
173,falling,Fan Girl,13,147,,,falling,8/31/2023,2:51,51,85,0,0,51,0,20,-7,E Minor,4,9/11/2023,1ROAenRiRgNpy4MnT6Qftu,Mandatory Music,9A,https://p.scdn.co/mp3-preview/aae867dc1a6e0529bf694f0eeb5b9e1ffa182ab2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d3985505bb3db0540e6e53f0
174,Our Song,Shamir,9,144,"art pop, escape room",Pop,Our Song,7/11/2023,4:18,58,89,0,22,83,0,20,-6,A Major,4,9/12/2023,4TEq13RzZxuQuBoUQ1ZKpe,Kill Rock Stars,11B,https://p.scdn.co/mp3-preview/856f05819cd396ad536c1f5557462311531f9272?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a68ca2bcef6be8fbed0d8f70
175,Tele,Deeper,34,120,"american post-punk, chicago indie, crank wave",Rock,Careful!,9/8/2023,3:40,59,97,0,68,73,0,20,-6,D Major,4,9/13/2023,0lU2B18NOe9JuPjEJsLhks,Sub Pop Records,10B,https://p.scdn.co/mp3-preview/0e0a866e7e9cd739649e4b199dde04d194ea49db?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518aa56c2134973bf2a2591a6d
