#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview
204,I Feel So Weird!,Cheekface,31,120,bubblegrunge,Rock,Too Much to Ask,8/2/2022,2:36,91,54,16,0,97,0,0,-6,G#/A♭ Major,4,10/20/2022,77mq1sH79ZrnFz4X9AjQ5s,Cheekface,4B,https://p.scdn.co/mp3-preview/3e92d63e93969533f6ff1d7f70de5ffcef11b757?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485191c428cd2ffa886adefb29ff
205,Jimmy Neutron,Enumclaw,27,126,"nu gaze, seattle indie",Rock,Save The Baby,10/14/2022,3:51,41,94,0,1,29,0,30,-6,D#/E♭ Major,4,10/21/2022,2nz67XVT2Ir9Y4YT8QM8sZ,Luminelle Recordings,5B,https://p.scdn.co/mp3-preview/2108fe0b9cab63639e2ab128512af2f1a87ccd6f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485178e6beae76a108463b5c6486
206,River NIle,Elsy Wameyo,9,130,australian alternative pop,Pop,River Nile,2/14/2022,3:22,69,82,3,0,34,10,40,-7,A Major,4,10/24/2022,2zcb1cAwDsc0zZYbXfeSAA,Music in Exile,11B,,https://i.scdn.co/image/ab67616d000048514eddfe7598bcaac2c1a87907
207,Psy Summer,Love'n'joy,7,120,,,Half Home,9/2/2022,5:52,27,88,16,79,28,0,0,-6,F Major,4,10/25/2022,7IC7pAQNOoBOu7j9QxZptm,kontrabass,7B,https://p.scdn.co/mp3-preview/444b911b2036beb0c3ff5debe759077e661ec2b6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a4d734997aead4641fc22eab
208,So Sorry,You Said Strange,7,122,"french shoegaze, rock alternatif francais","Metal, Rock",Thousand Shadows Vol.1,12/3/2021,3:21,61,63,0,15,41,0,0,-6,D Major,4,10/26/2022,2QEMquAs2GwO2Cs75jTmNf,EXAG' Records,10B,https://p.scdn.co/mp3-preview/102276b85f3b64d28b6b14f95a500c8362809ebd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bf3e7115236c48132f4acb76
209,Song for Ehi,"Bosq,Kaleta,The Ibibio Horns",20,120,"funktronica, ",R&B,Song for Ehi,8/8/2022,7:03,80,92,2,53,62,0,0,-8,D Major,4,10/27/2022,3IioZijYH2LaxWUrfShica,Canopy,10B,https://p.scdn.co/mp3-preview/271ec8b3b1c53231937d5967c60fc28ef1c71f13?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851205758b8d35268c9383f0a23
210,Paper Route,"Grynch,Sir Mix-A-Lot",9,98,"seattle hip hop, old school hip hop",Hip Hop,Paper Route,5/20/2022,3:47,80,86,5,0,67,20,20,-6,C♯/D♭ Major,4,10/28/2022,1zuURxUyaf1RezufABHSmu,Grynch,3B,https://p.scdn.co/mp3-preview/887dce738bab3b389455ef3ed8ae43ab621d8d5d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510bb8219feb12c621e3f5e2aa
211,Coyotes,Bill Callahan,0,130,"alternative country, art pop, chamber pop, lo-fi, singer-songwriter, slowcore, solo wave","Country, Pop, Rock, Folk/Acoustic",Coyotes,9/12/2022,6:27,51,36,80,54,40,0,10,-13,C Major,4,10/31/2022,0Ap3RZ5lv127IZZxUpcBku,Drag City,8B,,https://i.scdn.co/image/ab67616d000048512c54cb2ea19b4b8a2aa7281b
212,MERCY,"United Freedom Collective,FACESOUL",41,176,high vibe,New age,MERCY,9/1/2022,4:26,58,54,80,0,65,20,10,-8,A Major,4,11/1/2022,1WFCxAriOtoD8cQvChkllv,Dama Dama,11B,https://p.scdn.co/mp3-preview/3c859906ef50f076a9580250f1cc07b438e90b0c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f37d7a794f34bb106372e643
213,When the Lights Go,Totally Enormous Extinct Dinosaurs,32,110,"alternative dance, electronica, future garage, indietronica, nu disco, oxford indie","Rock, Electronic, Pop, R&B",When the Lights Go,8/31/2022,4:55,71,83,8,5,60,0,0,-5,F#/G♭ Minor,4,11/2/2022,3NQ4j0kY3lX8kbUfhS8GZV,Nice Age Music,11A,https://p.scdn.co/mp3-preview/22e0f0815935631ac222177c45a2cb4abeba6eac?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510c7e7a164febf59fe322245a
214,World Turns,Rival Consoles,43,106,"ambient idm, compositional ambient, electronica, intelligent dance music","New age, Classical, Electronic",Now Is,10/14/2022,5:23,59,42,11,92,4,0,10,-13,G#/A♭ Major,4,11/3/2022,7gLVKmFdPHGTrrK5QknUnw,Erased Tapes,4B,https://p.scdn.co/mp3-preview/ef1baf9a749545f89c4716692a73ad431bda391d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517fb36cbc17f95bd39d2e8207
215,I Will Wait For You,Lydia Ramsey,5,112,,,Like A Dream,9/23/2022,4:15,53,22,71,0,21,0,10,-10,A#/B♭ Major,4,11/4/2022,1VRwTxXbALjQEvZCrJa1ul,4221117 Records DK2,6B,https://p.scdn.co/mp3-preview/9d8be233dd0c090b5900685d02416e19dbf49da4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851dc6cb161ffdfa88385440d02
216,sunday,Winter,42,120,"american shoegaze, modern dream pop, nu gaze","Rock, Pop",What Kind of Blue Are You?,10/14/2022,4:24,50,72,2,51,41,0,10,-10,F Major,4,11/7/2022,7nRKMmuZnngrUrC5LOEhjk,Bar/None Records,7B,https://p.scdn.co/mp3-preview/cc01ce98c52fa3bc72eec58e07812ab6ccf1ddd5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485124ca9f2f3e5dd9133e3e590d
217,10 for 10,Cuffed Up,9,140,,,10 for 10,10/27/2022,4:15,46,82,0,0,53,0,0,-4,D Major,4,11/8/2022,5ni82a4JIenF3n264Yslm5,Cuffed Up,10B,https://p.scdn.co/mp3-preview/2d8a677a1c91ff89e1a339a0f6b3cc009d66ee48?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851640b8aa40f0cc02a0abcb9ed
218,Waile,WITCH,0,116,"afro psych, stoner metal","World/Traditional, Metal",Waile,9/20/2022,5:15,53,65,12,0,70,0,0,-9,A Minor,4,11/9/2022,4DDzLhln8RD3SEh6Z2oUio,Desert Daze Sound,8A,,https://i.scdn.co/image/ab67616d000048517946a4bb6919c34878ab0b0c
219,Do Me A Favor,Glüme,14,100,la pop,Pop,Do Me A Favor,10/14/2022,3:52,55,75,0,0,43,0,0,-7,F Minor,4,11/10/2022,1bId3I7NvV22ZP0uHZtmxw,Italians Do It Better,4A,https://p.scdn.co/mp3-preview/2563cff98bd0cf5fd38c6106029018dc0e81774c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851917176d22f6254b77630bccd
220,Kingdom,Jason McCue,0,90,,,"Screen, Turn On",9/9/2022,4:01,50,66,41,0,46,0,10,-11,A Major,4,11/11/2022,7sYXmYHZnHCKix6H1TEvDV,Fluff and Gravy,11B,https://p.scdn.co/mp3-preview/6d12f676713cabc8ecf34fd7637f988e505e76c0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a62a0958b355f8ea7f3600c5
221,Dance For You,Empress Of,0,116,"art pop, electropop, escape room, etherpop, shiver pop",Pop,Dance For You,5/25/2022,3:21,67,93,4,0,35,10,10,-3,B Minor,4,11/14/2022,4FYwIzkDDhbNOUavfsznEA,Major Arcana / mtheory,10A,,https://i.scdn.co/image/ab67616d00004851fff4a84cc2db89fdc9acb21d
